16|l|x,y,z
8|k|x,0.5+x,z
8|j|x,y,0.5
8|i|x,y,0.0
4|h|x,0.5+x,0.5
4|g|x,0.5+x,0.0
4|f|0.0,0.5,z
4|e|0.0,0.0,z
2|d|0.0,0.5,0.0
2|c|0.0,0.5,0.5
2|b|0.0,0.0,0.5
2|a|0.0,0.0,0.0
