24|m|x,y,z
12|l|0.25,y,0.5+y
12|k|0.25,y,0.5-y
12|j|x,0.5,0.0
12|i|x,0.0,0.5
12|h|x,0.0,0.0
8|g|x,x,x
6|f|0.25,0.5,0.0
6|e|0.25,0.0,0.5
6|d|0.0,0.5,0.5
4|c|0.75,0.75,0.75
4|b|0.25,0.25,0.25
2|a|0.0,0.0,0.0
