Wyckoff pos.|4c(2)|4c(2)|2b(mm2)|2b(mm2)|2b(mm2)|2b(mm2)|2a(mm2)|2a(mm2)|2a(mm2)|2a(mm2)
Band-Rep.|A↑G(4)|B↑G(4)|A₁↑G(2)|A₂↑G(2)|B₂↑G(2)|B₁↑G(2)|A₁↑G(2)|A₂↑G(2)|B₂↑G(2)|B₁↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false
Y:(1.0,0.0)|2Y₃⊕2Y₄|2Y₁⊕2Y₂|2Y₁|2Y₂|2Y₃|2Y₄|2Y₁|2Y₂|2Y₃|2Y₄
S:(0.5,0.5)|2S₁⊕2S₂|2S₁⊕2S₂|2S₂|2S₂|2S₁|2S₁|2S₁|2S₁|2S₂|2S₂
Γ:(0.0,0.0)|2Γ₁⊕2Γ₂|2Γ₃⊕2Γ₄|2Γ₁|2Γ₂|2Γ₃|2Γ₄|2Γ₁|2Γ₂|2Γ₃|2Γ₄
