Wyckoff pos.|4a(1)|4a(1)
Band-Rep.|A↑G(4)|Aˢ↑G(4)
Decomposable|false|false
A:(1/2,1/2,1/2)|A₁(1)⊕A₂(1)⊕A₃(1)⊕A₄(1)|A₅ˢ(1)⊕A₆ˢ(1)⊕A₇ˢ(1)⊕A₈ˢ(1)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)⊕Γ₃(1)⊕Γ₄(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)⊕Γ₇ˢ(1)⊕Γ₈ˢ(1)
M:(1/2,1/2,0)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₅ˢ(1)⊕M₆ˢ(1)⊕M₇ˢ(1)⊕M₈ˢ(1)
Z:(0,0,1/2)|Z₁(1)⊕Z₂(1)⊕Z₃(1)⊕Z₄(1)|Z₅ˢ(1)⊕Z₆ˢ(1)⊕Z₇ˢ(1)⊕Z₈ˢ(1)
R:(0,1/2,1/2)|2R₁(1)⊕2R₂(1)|2R₃ˢ(1)⊕2R₄ˢ(1)
X:(0,1/2,0)|2X₁(1)⊕2X₂(1)|2X₃ˢ(1)⊕2X₄ˢ(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)⊕Λ₇ˢ(1)⊕Λ₈ˢ(1)
V:(1/2,1/2,w)|V₁(1)⊕V₂(1)⊕V₃(1)⊕V₄(1)|V₅ˢ(1)⊕V₆ˢ(1)⊕V₇ˢ(1)⊕V₈ˢ(1)
W:(0,1/2,w)|2W₁(1)⊕2W₂(1)|2W₃ˢ(1)⊕2W₄ˢ(1)
B:(0,v,w)|4B₁(1)|4B₂ˢ(1)
C:(u,u,w)|4C₁(1)|4C₂ˢ(1)
D:(u,v,0)|4D₁(1)|4D₂ˢ(1)
Δ:(0,v,0)|4Δ₁(1)|4Δ₂ˢ(1)
E:(u,v,1/2)|4E₁(1)|4E₂ˢ(1)
F:(u,1/2,w)|4F₁(1)|4F₂ˢ(1)
Ω:(u,v,w)|4Ω₁(1)|4Ω₂ˢ(1)
S:(u,u,1/2)|4S₁(1)|4S₂ˢ(1)
Σ:(u,u,0)|4Σ₁(1)|4Σ₂ˢ(1)
T:(u,1/2,1/2)|4T₁(1)|4T₂ˢ(1)
U:(0,v,1/2)|4U₁(1)|4U₂ˢ(1)
Y:(u,1/2,0)|4Y₁(1)|4Y₂ˢ(1)
