P:(1/3,1/3,w)|P₁(1)|P₁(1)|P₁(1)|P₁(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|P₁(1)|P₁(1)|P₁(1)|P₁(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|2P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|Pˢ₄(1)|Pˢ₄(1)|Pˢ₄(1)|Pˢ₄(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)|Pˢ₄(1)|Pˢ₄(1)|Pˢ₄(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)|2Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)
D:(u,0,w)|D₁(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|2D₁(1)|2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|2D₁(1)⊕D₂(1)|2D₁(1)⊕D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|2D₁(1)⊕D₂(1)|Dˢ₄(1)|Dˢ₃(1)|Dˢ₃(1)|Dˢ₄(1)|Dˢ₃(1)⊕Dˢ₄(1)|Dˢ₃(1)⊕Dˢ₄(1)|Dˢ₄(1)|Dˢ₃(1)|Dˢ₃(1)|Dˢ₄(1)|Dˢ₃(1)⊕Dˢ₄(1)|Dˢ₃(1)⊕Dˢ₄(1)|2Dˢ₄(1)|2Dˢ₃(1)|2Dˢ₃(1)⊕2Dˢ₄(1)|2Dˢ₃(1)⊕Dˢ₄(1)|Dˢ₃(1)⊕2Dˢ₄(1)|Dˢ₃(1)⊕2Dˢ₄(1)|2Dˢ₃(1)⊕Dˢ₄(1)|2Dˢ₃(1)⊕Dˢ₄(1)|Dˢ₃(1)⊕2Dˢ₄(1)|Dˢ₃(1)⊕2Dˢ₄(1)|2Dˢ₃(1)⊕Dˢ₄(1)
Λ:(u,u,0)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)|2Λ₁(1)⊕Λ₂(1)|2Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕2Λ₂(1)|Λ₁(1)⊕2Λ₂(1)|2Λ₁(1)⊕Λ₂(1)|2Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕2Λ₂(1)|Λ₁(1)⊕2Λ₂(1)|Λˢ₄(1)|Λˢ₄(1)|Λˢ₃(1)|Λˢ₃(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₄(1)|Λˢ₄(1)|Λˢ₃(1)|Λˢ₃(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕Λˢ₄(1)|2Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕2Λˢ₄(1)|Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕Λˢ₄(1)|2Λˢ₃(1)⊕Λˢ₄(1)|Λˢ₃(1)⊕2Λˢ₄(1)|Λˢ₃(1)⊕2Λˢ₄(1)
Q:(u,u,1/2)|Q₁(1)|Q₁(1)|Q₂(1)|Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₂(1)|Q₂(1)|Q₁(1)|Q₁(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|2Q₁(1)⊕2Q₂(1)|2Q₁(1)⊕Q₂(1)|2Q₁(1)⊕Q₂(1)|Q₁(1)⊕2Q₂(1)|Q₁(1)⊕2Q₂(1)|Q₁(1)⊕2Q₂(1)|Q₁(1)⊕2Q₂(1)|2Q₁(1)⊕Q₂(1)|2Q₁(1)⊕Q₂(1)|Qˢ₄(1)|Qˢ₄(1)|Qˢ₃(1)|Qˢ₃(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)|Qˢ₃(1)|Qˢ₄(1)|Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕Qˢ₄(1)|2Qˢ₃(1)⊕2Qˢ₄(1)|2Qˢ₃(1)⊕Qˢ₄(1)|2Qˢ₃(1)⊕Qˢ₄(1)|Qˢ₃(1)⊕2Qˢ₄(1)|Qˢ₃(1)⊕2Qˢ₄(1)|Qˢ₃(1)⊕2Qˢ₄(1)|Qˢ₃(1)⊕2Qˢ₄(1)|2Qˢ₃(1)⊕Qˢ₄(1)|2Qˢ₃(1)⊕Qˢ₄(1)
R:(u,0,1/2)|R₁(1)|R₂(1)|R₂(1)|R₁(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|R₁(1)|R₂(1)|R₂(1)|R₁(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|2R₁(1)|2R₂(1)|2R₁(1)⊕2R₂(1)|2R₁(1)⊕R₂(1)|R₁(1)⊕2R₂(1)|R₁(1)⊕2R₂(1)|2R₁(1)⊕R₂(1)|2R₁(1)⊕R₂(1)|R₁(1)⊕2R₂(1)|R₁(1)⊕2R₂(1)|2R₁(1)⊕R₂(1)|Rˢ₄(1)|Rˢ₃(1)|Rˢ₃(1)|Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₄(1)|Rˢ₃(1)|Rˢ₃(1)|Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₄(1)|2Rˢ₄(1)|2Rˢ₃(1)|2Rˢ₃(1)⊕2Rˢ₄(1)|2Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕2Rˢ₄(1)|Rˢ₃(1)⊕2Rˢ₄(1)|2Rˢ₃(1)⊕Rˢ₄(1)|2Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕2Rˢ₄(1)|Rˢ₃(1)⊕2Rˢ₄(1)|2Rˢ₃(1)⊕Rˢ₄(1)
Σ:(u,0,0)|Σ₁(1)|Σ₂(1)|Σ₂(1)|Σ₁(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)|Σ₂(1)|Σ₂(1)|Σ₁(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₁(1)|2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|Σˢ₄(1)|Σˢ₃(1)|Σˢ₃(1)|Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₄(1)|Σˢ₃(1)|Σˢ₃(1)|Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|2Σˢ₄(1)|2Σˢ₃(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕2Σˢ₄(1)|Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕Σˢ₄(1)|2Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕2Σˢ₄(1)|Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕Σˢ₄(1)
U:(1/2,0,w)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|2U₁(1)|2U₂(1)|2U₁(1)⊕2U₂(1)|2U₁(1)⊕U₂(1)|U₁(1)⊕2U₂(1)|U₁(1)⊕2U₂(1)|2U₁(1)⊕U₂(1)|2U₁(1)⊕U₂(1)|U₁(1)⊕2U₂(1)|U₁(1)⊕2U₂(1)|2U₁(1)⊕U₂(1)|Uˢ₄(1)|Uˢ₃(1)|Uˢ₃(1)|Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₄(1)|Uˢ₃(1)|Uˢ₃(1)|Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|2Uˢ₄(1)|2Uˢ₃(1)|2Uˢ₃(1)⊕2Uˢ₄(1)|2Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕2Uˢ₄(1)|Uˢ₃(1)⊕2Uˢ₄(1)|2Uˢ₃(1)⊕Uˢ₄(1)|2Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕2Uˢ₄(1)|Uˢ₃(1)⊕2Uˢ₄(1)|2Uˢ₃(1)⊕Uˢ₄(1)
B:(u,v,0)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|2B₁(1)|2B₁(1)|B₁(1)|B₁(1)|B₁(1)|B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|4B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|4Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)
C:(u,u,w)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|4C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|4Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)|3Cˢ₂(1)
E:(u,v,1/2)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|2E₁(1)|2E₁(1)|E₁(1)|E₁(1)|E₁(1)|E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|4E₁(1)|3E₁(1)|3E₁(1)|3E₁(1)|3E₁(1)|3E₁(1)|3E₁(1)|3E₁(1)|3E₁(1)|Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|4Eˢ₂(1)|3Eˢ₂(1)|3Eˢ₂(1)|3Eˢ₂(1)|3Eˢ₂(1)|3Eˢ₂(1)|3Eˢ₂(1)|3Eˢ₂(1)|3Eˢ₂(1)
