E:(u,1/2,1/2)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)
K:(0,v,w)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₃ˢ(1)⊕K₄ˢ(1)|K₃ˢ(1)⊕K₄ˢ(1)|K₃ˢ(1)⊕K₄ˢ(1)|K₃ˢ(1)⊕K₄ˢ(1)
L:(1/2,v,w)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|L₃ˢ(1)⊕L₄ˢ(1)|L₃ˢ(1)⊕L₄ˢ(1)|L₃ˢ(1)⊕L₄ˢ(1)|L₃ˢ(1)⊕L₄ˢ(1)
M:(u,0,w)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₃ˢ(1)⊕M₄ˢ(1)|M₃ˢ(1)⊕M₄ˢ(1)|M₃ˢ(1)⊕M₄ˢ(1)|M₃ˢ(1)⊕M₄ˢ(1)
N:(u,1/2,w)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|N₃ˢ(1)⊕N₄ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)|N₃ˢ(1)⊕N₄ˢ(1)
P:(1/2,v,1/2)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₃ˢ(1)⊕P₄ˢ(1)|P₃ˢ(1)⊕P₄ˢ(1)|P₃ˢ(1)⊕P₄ˢ(1)|P₃ˢ(1)⊕P₄ˢ(1)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₃ˢ(1)⊕Σ₄ˢ(1)|Σ₃ˢ(1)⊕Σ₄ˢ(1)|Σ₃ˢ(1)⊕Σ₄ˢ(1)|Σ₃ˢ(1)⊕Σ₄ˢ(1)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)
V:(u,v,0)|2V₁(1)|2V₁(1)|2V₁(1)|2V₁(1)|2V₂ˢ(1)|2V₂ˢ(1)|2V₂ˢ(1)|2V₂ˢ(1)
W:(u,v,1/2)|2W₁(1)|2W₁(1)|2W₁(1)|2W₁(1)|2W₂ˢ(1)|2W₂ˢ(1)|2W₂ˢ(1)|2W₂ˢ(1)
