Wyckoff pos.|2a(2)|2a(2)|2b(2)|2b(2)|2c(2)|2c(2)|2a(2)|2a(2)|2b(2)|2b(2)|2c(2)|2c(2)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,1/2,1/2)|A₁(1)⊕A₂(1)|A₃(1)⊕A₄(1)|A₁(1)⊕A₂(1)|A₃(1)⊕A₄(1)|A₃(1)⊕A₄(1)|A₁(1)⊕A₂(1)|A₇ˢ(1)⊕A₈ˢ(1)|A₅ˢ(1)⊕A₆ˢ(1)|A₇ˢ(1)⊕A₈ˢ(1)|A₅ˢ(1)⊕A₆ˢ(1)|A₅ˢ(1)⊕A₆ˢ(1)|A₇ˢ(1)⊕A₈ˢ(1)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₇ˢ(1)⊕Γ₈ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)|Γ₇ˢ(1)⊕Γ₈ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)|Γ₇ˢ(1)⊕Γ₈ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)
M:(1/2,1/2,0)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₃(1)⊕M₄(1)|M₃(1)⊕M₄(1)|M₁(1)⊕M₂(1)|M₇ˢ(1)⊕M₈ˢ(1)|M₅ˢ(1)⊕M₆ˢ(1)|M₇ˢ(1)⊕M₈ˢ(1)|M₅ˢ(1)⊕M₆ˢ(1)|M₅ˢ(1)⊕M₆ˢ(1)|M₇ˢ(1)⊕M₈ˢ(1)
Z:(0,0,1/2)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₇ˢ(1)⊕Z₈ˢ(1)|Z₅ˢ(1)⊕Z₆ˢ(1)|Z₇ˢ(1)⊕Z₈ˢ(1)|Z₅ˢ(1)⊕Z₆ˢ(1)|Z₇ˢ(1)⊕Z₈ˢ(1)|Z₅ˢ(1)⊕Z₆ˢ(1)
R:(0,1/2,1/2)|2R₁(1)|2R₂(1)|2R₂(1)|2R₁(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|2R₄ˢ(1)|2R₃ˢ(1)|2R₃ˢ(1)|2R₄ˢ(1)|R₃ˢ(1)⊕R₄ˢ(1)|R₃ˢ(1)⊕R₄ˢ(1)
X:(0,1/2,0)|2X₁(1)|2X₂(1)|2X₂(1)|2X₁(1)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|2X₄ˢ(1)|2X₃ˢ(1)|2X₃ˢ(1)|2X₄ˢ(1)|X₃ˢ(1)⊕X₄ˢ(1)|X₃ˢ(1)⊕X₄ˢ(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)
