R:(u,0,1/2)|R₁(1)|R₂(1)|R₄(1)|R₃(1)|R₁(1)⊕R₂(1)|R₃(1)⊕R₄(1)|R₃(1)|R₄(1)|R₂(1)|R₁(1)|R₃(1)⊕R₄(1)|R₁(1)⊕R₂(1)|R₁(1)|R₂(1)|R₄(1)|R₃(1)|R₁(1)⊕R₂(1)|R₃(1)⊕R₄(1)|R₃(1)|R₄(1)|R₂(1)|R₁(1)|R₃(1)⊕R₄(1)|R₁(1)⊕R₂(1)|R₁(1)|R₂(1)|R₄(1)|R₃(1)|R₁(1)⊕R₂(1)|R₃(1)⊕R₄(1)|R₃(1)|R₄(1)|R₂(1)|R₁(1)|R₃(1)⊕R₄(1)|R₁(1)⊕R₂(1)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)|R₅ˢ(2)
Σ:(u,0,0)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)|Σ₂(1)|Σ₄(1)|Σ₃(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)|Σ₅ˢ(2)
P:(1/3,1/3,w)|P₁(1)|P₁(1)|P₁(1)|P₁(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|P₁(1)|P₁(1)|P₁(1)|P₁(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₃(1)|P₂(1)|P₂(1)|P₂(1)|P₂(1)|P₁(1)⊕P₃(1)|P₁(1)⊕P₃(1)|P₂(1)|P₂(1)|P₂(1)|P₂(1)|P₁(1)⊕P₃(1)|P₁(1)⊕P₃(1)|P₃(1)|P₃(1)|P₃(1)|P₃(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₃(1)|P₃(1)|P₃(1)|P₃(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₅ˢ(1)⊕P₆ˢ(1)|P₅ˢ(1)⊕P₆ˢ(1)|2P₄ˢ(1)|P₅ˢ(1)⊕P₆ˢ(1)|P₅ˢ(1)⊕P₆ˢ(1)|2P₄ˢ(1)|P₄ˢ(1)⊕P₆ˢ(1)|P₄ˢ(1)⊕P₆ˢ(1)|2P₅ˢ(1)|P₄ˢ(1)⊕P₆ˢ(1)|P₄ˢ(1)⊕P₆ˢ(1)|2P₅ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)|2P₆ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)|P₄ˢ(1)⊕P₅ˢ(1)|2P₆ˢ(1)
B:(u,v,0)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|2B₁(1)|2B₂(1)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|2B₁(1)|2B₂(1)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|2B₁(1)|2B₂(1)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|2B₁(1)|2B₂(1)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|2B₁(1)|2B₂(1)|B₁(1)|B₁(1)|B₂(1)|B₂(1)|2B₁(1)|2B₂(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)
D:(u,0,w)|D₁(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)|D₂(1)|D₂(1)|D₁(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)|D₃ˢ(1)⊕D₄ˢ(1)
E:(u,v,1/2)|E₁(1)|E₁(1)|E₂(1)|E₂(1)|2E₁(1)|2E₂(1)|E₂(1)|E₂(1)|E₁(1)|E₁(1)|2E₂(1)|2E₁(1)|E₁(1)|E₁(1)|E₂(1)|E₂(1)|2E₁(1)|2E₂(1)|E₂(1)|E₂(1)|E₁(1)|E₁(1)|2E₂(1)|2E₁(1)|E₁(1)|E₁(1)|E₂(1)|E₂(1)|2E₁(1)|2E₂(1)|E₂(1)|E₂(1)|E₁(1)|E₁(1)|2E₂(1)|2E₁(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)|E₃ˢ(1)⊕E₄ˢ(1)
Λ:(u,u,0)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|2Λ₁(1)|2Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|2Λ₁(1)|2Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|2Λ₁(1)|2Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|2Λ₁(1)|2Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|2Λ₁(1)|2Λ₂(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|2Λ₁(1)|2Λ₂(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)|Λ₃ˢ(1)⊕Λ₄ˢ(1)
Q:(u,u,1/2)|Q₁(1)|Q₁(1)|Q₂(1)|Q₂(1)|2Q₁(1)|2Q₂(1)|Q₂(1)|Q₂(1)|Q₁(1)|Q₁(1)|2Q₂(1)|2Q₁(1)|Q₁(1)|Q₁(1)|Q₂(1)|Q₂(1)|2Q₁(1)|2Q₂(1)|Q₂(1)|Q₂(1)|Q₁(1)|Q₁(1)|2Q₂(1)|2Q₁(1)|Q₁(1)|Q₁(1)|Q₂(1)|Q₂(1)|2Q₁(1)|2Q₂(1)|Q₂(1)|Q₂(1)|Q₁(1)|Q₁(1)|2Q₂(1)|2Q₁(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₄ˢ(1)
U:(1/2,0,w)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)|U₂(1)|U₂(1)|U₁(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₄ˢ(1)
C:(u,u,w)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|C₁(1)|C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)|2C₂ˢ(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)
