Wyckoff pos.|2a(2)|2a(2)
Band-Rep.|2a(2)|2a(2)
Decomposable|false|false
Y:(0.0,1.0)|2Y₁|2Y₂
Γ:(0.0,0.0)|2Γ₁|2Γ₂
