Wyckoff pos.|2b(3)|2b(3)|1a(3m1)|1a(3m1)|1a(3m1)
Band-Rep.|A↑G(2)|E↑G(4)|A₁↑G(1)|A₂↑G(1)|E↑G(2)
Decomposable|false|false|false|false|false
KA:(0.6666666666666666,-0.3333333333333333)|KA₃|KA₁⊕KA₂⊕KA₃|KA₁|KA₂|KA₃
Λ:(α,α)|Λ₁⊕Λ₂|2Λ₁⊕2Λ₂|Λ₁|Λ₂|Λ₁⊕Λ₂
M:(0.5,0.0)|M₁⊕M₂|2M₁⊕2M₂|M₁|M₂|M₁⊕M₂
T:(0.5-α,2.0α)|T₁⊕T₂|2T₁⊕2T₂|T₁|T₂|T₁⊕T₂
Γ:(0.0,0.0)|Γ₁⊕Γ₂|2Γ₃|Γ₁|Γ₂|Γ₃
TA:(0.5+α,-2.0α)|TA₁⊕TA₂|2TA₁⊕2TA₂|TA₁|TA₂|TA₁⊕TA₂
K:(0.3333333333333333,0.3333333333333333)|K₃|K₁⊕K₂⊕K₃|K₁|K₂|K₃
ΛA:(2.0α,-α)|ΛA₁⊕ΛA₂|2ΛA₁⊕2ΛA₂|ΛA₁|ΛA₂|ΛA₁⊕ΛA₂
Ω:(α,β)|2Ω₁|4Ω₁|Ω₁|Ω₁|2Ω₁
