Wyckoff pos.|4a(2)|4a(2)|4b(2)|4b(2)|4a(2)|4b(2)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γˢ₅(2)|2Γˢ₅(2)
T:(1,0,1/2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|Tˢ₂Tˢ₄(2)⊕Tˢ₃Tˢ₅(2)|Tˢ₂Tˢ₄(2)⊕Tˢ₃Tˢ₅(2)
Y:(1,0,0)|Y₁(1)⊕Y₃(1)|Y₂(1)⊕Y₄(1)|Y₁(1)⊕Y₄(1)|Y₂(1)⊕Y₃(1)|2Yˢ₅(2)|2Yˢ₅(2)
Z:(0,0,1/2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Zˢ₂Zˢ₄(2)⊕Zˢ₃Zˢ₅(2)|Zˢ₂Zˢ₄(2)⊕Zˢ₃Zˢ₅(2)
R:(1/2,1/2,1/2)|R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|R₁R₂(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)
S:(1/2,1/2,0)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2Sˢ₃Sˢ₄(2)|2Sˢ₃Sˢ₄(2)
A:(u,0,1/2)|A₁A₂(2)|A₁A₂(2)|A₁A₂(2)|A₁A₂(2)|2Aˢ₃Aˢ₄(2)|2Aˢ₃Aˢ₄(2)
B:(0,v,1/2)|B₁B₂(2)|B₁B₂(2)|B₁B₂(2)|B₁B₂(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)
D:(1/2,1/2,w)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|2Dˢ₃(1)⊕2Dˢ₄(1)|2Dˢ₃(1)⊕2Dˢ₄(1)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)|2Δ₂(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
H:(1,0,w)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|2Hˢ₃(1)⊕2Hˢ₄(1)|2Hˢ₃(1)⊕2Hˢ₄(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)
Σ:(u,0,0)|2Σ₁(1)|2Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)
GP:(u,v,w)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|4GPˢ₂(1)|4GPˢ₂(1)
K:(0,v,w)|2K₁(1)|2K₁(1)|2K₁(1)|2K₁(1)|4Kˢ₂(1)|4Kˢ₂(1)
M:(u,0,w)|2M₁(1)|2M₁(1)|2M₁(1)|2M₁(1)|4Mˢ₂(1)|4Mˢ₂(1)
P:(u,v,0)|2P₁(1)|2P₁(1)|2P₁(1)|2P₁(1)|4Pˢ₂(1)|4Pˢ₂(1)
Q:(u,v,1/2)|Q₁Q₁(2)|Q₁Q₁(2)|Q₁Q₁(2)|Q₁Q₁(2)|2Qˢ₂Qˢ₂(2)|2Qˢ₂Qˢ₂(2)
