B:(0,v,1/2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|2Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)|2Bˢ₅Bˢ₅(4)
C:(u,1/2,0)|2C₁(2)|2C₁(2)|2C₁(2)|2C₁(2)|2C₁(2)|2C₁(2)|2Cˢ₂Cˢ₄(2)⊕2Cˢ₃Cˢ₅(2)|2Cˢ₂Cˢ₄(2)⊕2Cˢ₃Cˢ₅(2)|2Cˢ₂Cˢ₄(2)⊕2Cˢ₃Cˢ₅(2)|2Cˢ₂Cˢ₄(2)⊕2Cˢ₃Cˢ₅(2)|2Cˢ₂Cˢ₄(2)⊕2Cˢ₃Cˢ₅(2)
D:(1/2,v,0)|2D₁(2)|2D₁(2)|2D₁(2)|2D₁(2)|2D₁(2)|2D₁(2)|2Dˢ₂Dˢ₃(2)⊕2Dˢ₄Dˢ₅(2)|2Dˢ₂Dˢ₃(2)⊕2Dˢ₄Dˢ₅(2)|2Dˢ₂Dˢ₃(2)⊕2Dˢ₄Dˢ₅(2)|2Dˢ₂Dˢ₃(2)⊕2Dˢ₄Dˢ₅(2)|2Dˢ₂Dˢ₃(2)⊕2Dˢ₄Dˢ₅(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)|2Δ₃(1)⊕2Δ₄(1)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)
E:(u,1/2,1/2)|E₁E₃(2)⊕E₂E₄(2)|E₁E₃(2)⊕E₂E₄(2)|E₁E₃(2)⊕E₂E₄(2)|E₁E₃(2)⊕E₂E₄(2)|E₁E₃(2)⊕E₂E₄(2)|E₁E₃(2)⊕E₂E₄(2)|2Eˢ₅Eˢ₅(4)|2Eˢ₅Eˢ₅(4)|2Eˢ₅Eˢ₅(4)|2Eˢ₅Eˢ₅(4)|2Eˢ₅Eˢ₅(4)
G:(1/2,0,w)|G₁G₄(2)⊕G₂G₃(2)|G₁G₄(2)⊕G₂G₃(2)|G₁G₄(2)⊕G₂G₃(2)|G₁G₄(2)⊕G₂G₃(2)|G₁G₄(2)⊕G₂G₃(2)|G₁G₄(2)⊕G₂G₃(2)|2Gˢ₅Gˢ₅(4)|2Gˢ₅Gˢ₅(4)|2Gˢ₅Gˢ₅(4)|2Gˢ₅Gˢ₅(4)|2Gˢ₅Gˢ₅(4)
H:(0,1/2,w)|2H₁(2)|2H₁(2)|2H₁(2)|2H₁(2)|2H₁(2)|2H₁(2)|2Hˢ₂Hˢ₄(2)⊕2Hˢ₃Hˢ₅(2)|2Hˢ₂Hˢ₄(2)⊕2Hˢ₃Hˢ₅(2)|2Hˢ₂Hˢ₄(2)⊕2Hˢ₃Hˢ₅(2)|2Hˢ₂Hˢ₄(2)⊕2Hˢ₃Hˢ₅(2)|2Hˢ₂Hˢ₄(2)⊕2Hˢ₃Hˢ₅(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|4Λˢ₅(2)|4Λˢ₅(2)|4Λˢ₅(2)|4Λˢ₅(2)|4Λˢ₅(2)
P:(1/2,v,1/2)|P₁P₁(4)|P₁P₁(4)|P₁P₁(4)|P₁P₁(4)|P₁P₁(4)|P₁P₁(4)|Pˢ₂Pˢ₂(2)⊕Pˢ₃Pˢ₃(2)⊕Pˢ₄Pˢ₄(2)⊕Pˢ₅Pˢ₅(2)|Pˢ₂Pˢ₂(2)⊕Pˢ₃Pˢ₃(2)⊕Pˢ₄Pˢ₄(2)⊕Pˢ₅Pˢ₅(2)|Pˢ₂Pˢ₂(2)⊕Pˢ₃Pˢ₃(2)⊕Pˢ₄Pˢ₄(2)⊕Pˢ₅Pˢ₅(2)|Pˢ₂Pˢ₂(2)⊕Pˢ₃Pˢ₃(2)⊕Pˢ₄Pˢ₄(2)⊕Pˢ₅Pˢ₅(2)|Pˢ₂Pˢ₂(2)⊕Pˢ₃Pˢ₃(2)⊕Pˢ₄Pˢ₄(2)⊕Pˢ₅Pˢ₅(2)
Q:(1/2,1/2,w)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Qˢ₂Qˢ₃(2)⊕2Qˢ₄Qˢ₅(2)|2Qˢ₂Qˢ₃(2)⊕2Qˢ₄Qˢ₅(2)|2Qˢ₂Qˢ₃(2)⊕2Qˢ₄Qˢ₅(2)|2Qˢ₂Qˢ₃(2)⊕2Qˢ₄Qˢ₅(2)|2Qˢ₂Qˢ₃(2)⊕2Qˢ₄Qˢ₅(2)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)
K:(0,v,w)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|4Kˢ₃Kˢ₄(2)|4Kˢ₃Kˢ₄(2)|4Kˢ₃Kˢ₄(2)|4Kˢ₃Kˢ₄(2)|4Kˢ₃Kˢ₄(2)
L:(1/2,v,w)|2L₁L₂(2)|2L₁L₂(2)|2L₁L₂(2)|2L₁L₂(2)|2L₁L₂(2)|2L₁L₂(2)|2Lˢ₃Lˢ₃(2)⊕2Lˢ₄Lˢ₄(2)|2Lˢ₃Lˢ₃(2)⊕2Lˢ₄Lˢ₄(2)|2Lˢ₃Lˢ₃(2)⊕2Lˢ₄Lˢ₄(2)|2Lˢ₃Lˢ₃(2)⊕2Lˢ₄Lˢ₄(2)|2Lˢ₃Lˢ₃(2)⊕2Lˢ₄Lˢ₄(2)
M:(u,0,w)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|4Mˢ₃Mˢ₄(2)|4Mˢ₃Mˢ₄(2)|4Mˢ₃Mˢ₄(2)|4Mˢ₃Mˢ₄(2)|4Mˢ₃Mˢ₄(2)
N:(u,1/2,w)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|2N₁(1)⊕2N₂(1)|4Nˢ₃Nˢ₄(2)|4Nˢ₃Nˢ₄(2)|4Nˢ₃Nˢ₄(2)|4Nˢ₃Nˢ₄(2)|4Nˢ₃Nˢ₄(2)
V:(u,v,0)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|4Vˢ₃Vˢ₄(2)|4Vˢ₃Vˢ₄(2)|4Vˢ₃Vˢ₄(2)|4Vˢ₃Vˢ₄(2)|4Vˢ₃Vˢ₄(2)
W:(u,v,1/2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2Wˢ₃Wˢ₃(2)⊕2Wˢ₄Wˢ₄(2)|2Wˢ₃Wˢ₃(2)⊕2Wˢ₄Wˢ₄(2)|2Wˢ₃Wˢ₃(2)⊕2Wˢ₄Wˢ₄(2)|2Wˢ₃Wˢ₃(2)⊕2Wˢ₄Wˢ₄(2)|2Wˢ₃Wˢ₃(2)⊕2Wˢ₄Wˢ₄(2)
GP:(u,v,w)|4GP₁(1)|4GP₁(1)|4GP₁(1)|4GP₁(1)|4GP₁(1)|4GP₁(1)|4GPˢ₂GPˢ₂(2)|4GPˢ₂GPˢ₂(2)|4GPˢ₂GPˢ₂(2)|4GPˢ₂GPˢ₂(2)|4GPˢ₂GPˢ₂(2)
