V:(1/2,1/2,w)|V₁(1)|V₁(1)|V₂V₂(2)|V₁(1)|V₁(1)|V₂V₂(2)|V₁(1)|V₁(1)|V₂V₂(2)|V₁(1)|V₁(1)|V₂V₂(2)|V₂V₂(2)|2V₁(1)|Vˢ₃Vˢ₄(2)|Vˢ₃Vˢ₄(2)|Vˢ₃Vˢ₄(2)|Vˢ₃Vˢ₄(2)|Vˢ₃Vˢ₄(2)|Vˢ₃Vˢ₄(2)|Vˢ₃Vˢ₄(2)|Vˢ₃Vˢ₄(2)|2Vˢ₃Vˢ₄(2)
W:(0,1/2,w)|W₁(1)|W₁(1)|2W₂(1)|W₁(1)|W₁(1)|2W₂(1)|W₂(1)|W₂(1)|2W₁(1)|W₂(1)|W₂(1)|2W₁(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)|2Wˢ₃(1)⊕2Wˢ₄(1)
B:(0,v,w)|B₁(1)|B₁(1)|2B₁(1)|B₁(1)|B₁(1)|2B₁(1)|B₁(1)|B₁(1)|2B₁(1)|B₁(1)|B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|4Bˢ₂(1)
C:(u,u,w)|C₁(1)|C₁(1)|2C₁(1)|C₁(1)|C₁(1)|2C₁(1)|C₁(1)|C₁(1)|2C₁(1)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|2Cˢ₂(1)|4Cˢ₂(1)
D:(u,v,0)|D₁(1)|D₁(1)|2D₁(1)|D₁(1)|D₁(1)|2D₁(1)|D₁(1)|D₁(1)|2D₁(1)|D₁(1)|D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|4Dˢ₂(1)
Δ:(0,v,0)|Δ₁(1)|Δ₁(1)|2Δ₁(1)|Δ₁(1)|Δ₁(1)|2Δ₁(1)|Δ₁(1)|Δ₁(1)|2Δ₁(1)|Δ₁(1)|Δ₁(1)|2Δ₁(1)|2Δ₁(1)|2Δ₁(1)|2Δˢ₂(1)|2Δˢ₂(1)|2Δˢ₂(1)|2Δˢ₂(1)|2Δˢ₂(1)|2Δˢ₂(1)|2Δˢ₂(1)|2Δˢ₂(1)|4Δˢ₂(1)
E:(u,v,1/2)|E₁(1)|E₁(1)|2E₁(1)|E₁(1)|E₁(1)|2E₁(1)|E₁(1)|E₁(1)|2E₁(1)|E₁(1)|E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|4Eˢ₂(1)
F:(u,1/2,w)|F₁(1)|F₁(1)|2F₁(1)|F₁(1)|F₁(1)|2F₁(1)|F₁(1)|F₁(1)|2F₁(1)|F₁(1)|F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|4Fˢ₂(1)
GP:(u,v,w)|GP₁(1)|GP₁(1)|2GP₁(1)|GP₁(1)|GP₁(1)|2GP₁(1)|GP₁(1)|GP₁(1)|2GP₁(1)|GP₁(1)|GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|4GPˢ₂(1)
S:(u,u,1/2)|S₁(1)|S₁(1)|2S₁(1)|S₁(1)|S₁(1)|2S₁(1)|S₁(1)|S₁(1)|2S₁(1)|S₁(1)|S₁(1)|2S₁(1)|2S₁(1)|2S₁(1)|2Sˢ₂(1)|2Sˢ₂(1)|2Sˢ₂(1)|2Sˢ₂(1)|2Sˢ₂(1)|2Sˢ₂(1)|2Sˢ₂(1)|2Sˢ₂(1)|4Sˢ₂(1)
Σ:(u,u,0)|Σ₁(1)|Σ₁(1)|2Σ₁(1)|Σ₁(1)|Σ₁(1)|2Σ₁(1)|Σ₁(1)|Σ₁(1)|2Σ₁(1)|Σ₁(1)|Σ₁(1)|2Σ₁(1)|2Σ₁(1)|2Σ₁(1)|2Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)|2Σˢ₂(1)|4Σˢ₂(1)
T:(u,1/2,1/2)|T₁(1)|T₁(1)|2T₁(1)|T₁(1)|T₁(1)|2T₁(1)|T₁(1)|T₁(1)|2T₁(1)|T₁(1)|T₁(1)|2T₁(1)|2T₁(1)|2T₁(1)|2Tˢ₂(1)|2Tˢ₂(1)|2Tˢ₂(1)|2Tˢ₂(1)|2Tˢ₂(1)|2Tˢ₂(1)|2Tˢ₂(1)|2Tˢ₂(1)|4Tˢ₂(1)
U:(0,v,1/2)|U₁(1)|U₁(1)|2U₁(1)|U₁(1)|U₁(1)|2U₁(1)|U₁(1)|U₁(1)|2U₁(1)|U₁(1)|U₁(1)|2U₁(1)|2U₁(1)|2U₁(1)|2Uˢ₂(1)|2Uˢ₂(1)|2Uˢ₂(1)|2Uˢ₂(1)|2Uˢ₂(1)|2Uˢ₂(1)|2Uˢ₂(1)|2Uˢ₂(1)|4Uˢ₂(1)
Y:(u,1/2,0)|Y₁(1)|Y₁(1)|2Y₁(1)|Y₁(1)|Y₁(1)|2Y₁(1)|Y₁(1)|Y₁(1)|2Y₁(1)|Y₁(1)|Y₁(1)|2Y₁(1)|2Y₁(1)|2Y₁(1)|2Yˢ₂(1)|2Yˢ₂(1)|2Yˢ₂(1)|2Yˢ₂(1)|2Yˢ₂(1)|2Yˢ₂(1)|2Yˢ₂(1)|2Yˢ₂(1)|4Yˢ₂(1)
