Wyckoff pos.|4a(m)|4a(m)|4a(m)
Band-Rep.|A'↑G(2)|A''↑G(2)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|2Γˢ₅(2)
T:(1,0,1/2)|T₁T₃(2)|T₂T₄(2)|Tˢ₅Tˢ₅(4)
Y:(1,0,0)|Y₁(1)⊕Y₃(1)|Y₂(1)⊕Y₄(1)|2Yˢ₅(2)
Z:(0,0,1/2)|Z₁Z₃(2)|Z₂Z₄(2)|Zˢ₅Zˢ₅(4)
R:(1/2,1/2,1/2)|R₁R₂(2)|R₁R₂(2)|Rˢ₃Rˢ₃(2)⊕Rˢ₄Rˢ₄(2)
S:(1/2,1/2,0)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2Sˢ₃Sˢ₄(2)
H:(1,0,w)|H₁(1)⊕H₃(1)|H₂(1)⊕H₄(1)|2Hˢ₅(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|2Λˢ₅(2)
A:(u,0,1/2)|A₁A₂(2)|A₁A₂(2)|2Aˢ₃Aˢ₄(2)
B:(0,v,1/2)|B₁B₁(2)|B₂B₂(2)|Bˢ₃Bˢ₃(2)⊕Bˢ₄Bˢ₄(2)
D:(1/2,1/2,w)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|2Dˢ₃(1)⊕2Dˢ₄(1)
Δ:(0,v,0)|2Δ₁(1)|2Δ₂(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
K:(0,v,w)|2K₁(1)|2K₂(1)|2Kˢ₃(1)⊕2Kˢ₄(1)
M:(u,0,w)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|2Mˢ₃(1)⊕2Mˢ₄(1)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σˢ₃(1)⊕2Σˢ₄(1)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|4Ωˢ₂(1)
P:(u,v,0)|2P₁(1)|2P₁(1)|4Pˢ₂(1)
Q:(u,v,1/2)|Q₁Q₁(2)|Q₁Q₁(2)|2Qˢ₂Qˢ₂(2)
