-x+3/4,-y+1/4,z+1/2
-x+1/4,y+1/2,-z+3/4
z,x,y
y+3/4,x+1/4,-z+1/2
-x,-y,-z
x,y+1/2,z+1/2
x+1/2,y,z+1/2
