Wyckoff pos.|4a(2)|4a(2)|4a(2)|4a(2)
Band-Rep.|A↑G(4)|B↑G(4)|¹Eˢ↑G(4)|²Eˢ↑G(4)
Decomposable|false|false|false|false
A:(1/2,1/2,1/2)|A₁(2)⊕A₂(2)|A₁(2)⊕A₂(2)|A₅ˢ(1)⊕A₆ˢ(1)⊕A₇ˢ(2)|A₃ˢ(1)⊕A₄ˢ(1)⊕A₇ˢ(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)⊕Γ₅(2)|Γ₂(1)⊕Γ₃(1)⊕Γ₅(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)
M:(1/2,1/2,0)|M₁(1)⊕M₄(1)⊕M₅(2)|M₂(1)⊕M₃(1)⊕M₅(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)
Z:(0,0,1/2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₅ˢ(1)⊕Z₆ˢ(1)⊕Z₇ˢ(2)|Z₃ˢ(1)⊕Z₄ˢ(1)⊕Z₇ˢ(2)
R:(0,1/2,1/2)|R₁(1)⊕R₂(1)⊕R₃(1)⊕R₄(1)|R₁(1)⊕R₂(1)⊕R₃(1)⊕R₄(1)|2R₅ˢ(2)|2R₅ˢ(2)
X:(0,1/2,0)|2X₁(2)|2X₁(2)|X₂ˢ(1)⊕X₃ˢ(1)⊕X₄ˢ(1)⊕X₅ˢ(1)|X₂ˢ(1)⊕X₃ˢ(1)⊕X₄ˢ(1)⊕X₅ˢ(1)
