Wyckoff pos.|2a(4)|2a(4)|2a(4)|2b(mm2)|2b(mm2)|2b(mm2)|2b(mm2)|2a(4)|2a(4)|2b(mm2)
Band-Rep.|A↑G(2)|B↑G(2)|¹E²E↑G(4)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|¹E₁ˢ²E₁ˢ↑G(4)|¹E₂ˢ²E₂ˢ↑G(4)|Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false
A:(1/2,1/2,1/2)|A₅(2)|A₅(2)|A₁A₃(2)⊕A₂A₄(2)|A₁A₃(2)|A₂A₄(2)|A₅(2)|A₅(2)|A₆ˢA₇ˢ(4)|A₆ˢA₇ˢ(4)|A₆ˢA₇ˢ(4)
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₅(2)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₅(2)|Γ₅(2)|2Γ₇ˢ(2)|2Γ₆ˢ(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)
M:(1/2,1/2,0)|M₅(2)|M₅(2)|M₁M₃(2)⊕M₂M₄(2)|M₁M₃(2)|M₂M₄(2)|M₅(2)|M₅(2)|M₆ˢM₇ˢ(4)|M₆ˢM₇ˢ(4)|M₆ˢM₇ˢ(4)
Z:(0,0,1/2)|Z₁(1)⊕Z₄(1)|Z₂(1)⊕Z₃(1)|2Z₅(2)|Z₁(1)⊕Z₃(1)|Z₂(1)⊕Z₄(1)|Z₅(2)|Z₅(2)|2Z₇ˢ(2)|2Z₆ˢ(2)|Z₆ˢ(2)⊕Z₇ˢ(2)
R:(0,1/2,1/2)|R₁(2)|R₁(2)|2R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₂ˢR₃ˢ(2)⊕R₄ˢR₅ˢ(2)|R₂ˢR₃ˢ(2)⊕R₄ˢR₅ˢ(2)|R₂ˢR₃ˢ(2)⊕R₄ˢR₅ˢ(2)
X:(0,1/2,0)|X₁(2)|X₁(2)|2X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₂ˢX₃ˢ(2)⊕X₄ˢX₅ˢ(2)|X₂ˢX₃ˢ(2)⊕X₄ˢX₅ˢ(2)|X₂ˢX₃ˢ(2)⊕X₄ˢX₅ˢ(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₄(1)|Λ₂(1)⊕Λ₃(1)|2Λ₅(2)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|Λ₅(2)|Λ₅(2)|2Λ₇ˢ(2)|2Λ₆ˢ(2)|Λ₆ˢ(2)⊕Λ₇ˢ(2)
V:(1/2,1/2,w)|V₅(2)|V₅(2)|V₁(1)⊕V₂(1)⊕V₃(1)⊕V₄(1)|V₁(1)⊕V₃(1)|V₂(1)⊕V₄(1)|V₅(2)|V₅(2)|V₆ˢ(2)⊕V₇ˢ(2)|V₆ˢ(2)⊕V₇ˢ(2)|V₆ˢ(2)⊕V₇ˢ(2)
W:(0,1/2,w)|W₁(2)|W₁(2)|2W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₂ˢ(1)⊕W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)|W₂ˢ(1)⊕W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)|W₂ˢ(1)⊕W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)
B:(0,v,w)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|2B₁(1)⊕2B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|2B₃ˢ(1)⊕2B₄ˢ(1)|2B₃ˢ(1)⊕2B₄ˢ(1)|2B₃ˢ(1)⊕2B₄ˢ(1)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)|2C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₃ˢ(1)⊕2Δ₄ˢ(1)|2Δ₃ˢ(1)⊕2Δ₄ˢ(1)|2Δ₃ˢ(1)⊕2Δ₄ˢ(1)
F:(u,1/2,w)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|2F₁(1)⊕2F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|2F₃ˢ(1)⊕2F₄ˢ(1)|2F₃ˢ(1)⊕2F₄ˢ(1)|2F₃ˢ(1)⊕2F₄ˢ(1)
S:(u,u,1/2)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2S₁(1)⊕2S₂(1)|2S₁(1)|2S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2S₃ˢ(1)⊕2S₄ˢ(1)|2S₃ˢ(1)⊕2S₄ˢ(1)|2S₃ˢ(1)⊕2S₄ˢ(1)
