V:(1/2,1/2,w)|V₅(2)|V₅(2)|V₅(2)|V₅(2)|V₁V₃(2)⊕V₂V₄(2)|V₅(2)|V₅(2)|V₅(2)|V₅(2)|V₁V₃(2)⊕V₂V₄(2)|V₁V₃(2)|V₂V₄(2)|V₂V₄(2)|V₁V₃(2)|2V₅(2)|V₁V₃(2)⊕V₅(2)|V₂V₄(2)⊕V₅(2)|V₂V₄(2)⊕V₅(2)|V₁V₃(2)⊕V₅(2)|V₁V₃(2)⊕V₅(2)|V₂V₄(2)⊕V₅(2)|V₂V₄(2)⊕V₅(2)|V₁V₃(2)⊕V₅(2)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|Vˢ₆Vˢ₇(4)|2Vˢ₆Vˢ₇(4)|2Vˢ₆Vˢ₇(4)|2Vˢ₆Vˢ₇(4)|2Vˢ₆Vˢ₇(4)
Δ:(0,v,0)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)|4Δˢ₅(2)
S:(u,u,1/2)|S₁(1)⊕S₄(1)|S₁(1)⊕S₄(1)|S₂(1)⊕S₃(1)|S₂(1)⊕S₃(1)|S₁(1)⊕S₂(1)⊕S₃(1)⊕S₄(1)|S₂(1)⊕S₃(1)|S₂(1)⊕S₃(1)|S₁(1)⊕S₄(1)|S₁(1)⊕S₄(1)|S₁(1)⊕S₂(1)⊕S₃(1)⊕S₄(1)|S₁(1)⊕S₃(1)|S₂(1)⊕S₄(1)|S₂(1)⊕S₄(1)|S₁(1)⊕S₃(1)|S₁(1)⊕S₂(1)⊕S₃(1)⊕S₄(1)|2S₁(1)⊕S₃(1)⊕S₄(1)|S₁(1)⊕S₂(1)⊕2S₄(1)|2S₂(1)⊕S₃(1)⊕S₄(1)|S₁(1)⊕S₂(1)⊕2S₃(1)|S₁(1)⊕S₂(1)⊕2S₃(1)|2S₂(1)⊕S₃(1)⊕S₄(1)|S₁(1)⊕S₂(1)⊕2S₄(1)|2S₁(1)⊕S₃(1)⊕S₄(1)|2Sˢ₅(2)|2Sˢ₅(2)|2Sˢ₅(2)|2Sˢ₅(2)|2Sˢ₅(2)|2Sˢ₅(2)|4Sˢ₅(2)|4Sˢ₅(2)|4Sˢ₅(2)|4Sˢ₅(2)
Σ:(u,u,0)|Σ₁(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|2Σ₁(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₄(1)|2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)|2Σ₁(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₄(1)|2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)
T:(u,1/2,1/2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|2T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|2T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|2T₁(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|Tˢ₂Tˢ₃(2)⊕Tˢ₄Tˢ₅(2)|2Tˢ₂Tˢ₃(2)⊕2Tˢ₄Tˢ₅(2)|2Tˢ₂Tˢ₃(2)⊕2Tˢ₄Tˢ₅(2)|2Tˢ₂Tˢ₃(2)⊕2Tˢ₄Tˢ₅(2)|2Tˢ₂Tˢ₃(2)⊕2Tˢ₄Tˢ₅(2)
U:(0,v,1/2)|U₁(1)⊕U₃(1)|U₂(1)⊕U₄(1)|U₁(1)⊕U₃(1)|U₂(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₃(1)|U₂(1)⊕U₄(1)|U₁(1)⊕U₃(1)|U₂(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₃(1)|U₂(1)⊕U₄(1)|U₁(1)⊕U₃(1)|U₂(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|2Uˢ₅(2)|2Uˢ₅(2)|2Uˢ₅(2)|2Uˢ₅(2)|2Uˢ₅(2)|2Uˢ₅(2)|4Uˢ₅(2)|4Uˢ₅(2)|4Uˢ₅(2)|4Uˢ₅(2)
W:(0,1/2,w)|W₁W₃(2)|W₂W₄(2)|W₁W₃(2)|W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)|W₂W₄(2)|W₁W₃(2)|W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)|W₂W₄(2)|W₁W₃(2)|W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|W₁W₃(2)⊕W₂W₄(2)|Wˢ₅Wˢ₅(4)|Wˢ₅Wˢ₅(4)|Wˢ₅Wˢ₅(4)|Wˢ₅Wˢ₅(4)|Wˢ₅Wˢ₅(4)|Wˢ₅Wˢ₅(4)|2Wˢ₅Wˢ₅(4)|2Wˢ₅Wˢ₅(4)|2Wˢ₅Wˢ₅(4)|2Wˢ₅Wˢ₅(4)
Y:(u,1/2,0)|Y₁(2)|Y₁(2)|Y₁(2)|Y₁(2)|2Y₁(2)|Y₁(2)|Y₁(2)|Y₁(2)|Y₁(2)|2Y₁(2)|Y₁(2)|Y₁(2)|Y₁(2)|Y₁(2)|2Y₁(2)|2Y₁(2)|2Y₁(2)|2Y₁(2)|2Y₁(2)|2Y₁(2)|2Y₁(2)|2Y₁(2)|2Y₁(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)|2Yˢ₂Yˢ₃(2)⊕2Yˢ₄Yˢ₅(2)|2Yˢ₂Yˢ₃(2)⊕2Yˢ₄Yˢ₅(2)|2Yˢ₂Yˢ₃(2)⊕2Yˢ₄Yˢ₅(2)|2Yˢ₂Yˢ₃(2)⊕2Yˢ₄Yˢ₅(2)
B:(0,v,w)|2B₁(1)|2B₂(1)|2B₁(1)|2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)|2B₂(1)|2B₁(1)|2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)|2B₂(1)|2B₁(1)|2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)|4Bˢ₃Bˢ₄(2)|4Bˢ₃Bˢ₄(2)|4Bˢ₃Bˢ₄(2)|4Bˢ₃Bˢ₄(2)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)|2C₂(1)|2C₂(1)|2C₁(1)|2C₁(1)⊕2C₂(1)|3C₁(1)⊕C₂(1)|C₁(1)⊕3C₂(1)|C₁(1)⊕3C₂(1)|3C₁(1)⊕C₂(1)|3C₁(1)⊕C₂(1)|C₁(1)⊕3C₂(1)|C₁(1)⊕3C₂(1)|3C₁(1)⊕C₂(1)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|4Cˢ₃Cˢ₄(2)|4Cˢ₃Cˢ₄(2)|4Cˢ₃Cˢ₄(2)|4Cˢ₃Cˢ₄(2)
D:(u,v,0)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|2D₁(1)⊕2D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|2D₁(1)⊕2D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|D₁(1)⊕D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|2Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)|4Dˢ₃Dˢ₄(2)
E:(u,v,1/2)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|2E₁(1)⊕2E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|2E₁(1)⊕2E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|E₁(1)⊕E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2E₁(1)⊕2E₂(1)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|2Eˢ₃Eˢ₄(2)|4Eˢ₃Eˢ₄(2)|4Eˢ₃Eˢ₄(2)|4Eˢ₃Eˢ₄(2)|4Eˢ₃Eˢ₄(2)
F:(u,1/2,w)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|2F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|2F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|2F₁F₂(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|Fˢ₃Fˢ₃(2)⊕Fˢ₄Fˢ₄(2)|2Fˢ₃Fˢ₃(2)⊕2Fˢ₄Fˢ₄(2)|2Fˢ₃Fˢ₃(2)⊕2Fˢ₄Fˢ₄(2)|2Fˢ₃Fˢ₃(2)⊕2Fˢ₄Fˢ₄(2)|2Fˢ₃Fˢ₃(2)⊕2Fˢ₄Fˢ₄(2)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|2Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)|4Ωˢ₂Ωˢ₂(2)
