Wyckoff pos.|2a(m)|2a(m)|2a(m)
Band-Rep.|A′↑G(2)|A′′↑G(2)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|2Γ₅ˢ(2)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₂ˢR₄ˢ(2)⊕R₃ˢR₅ˢ(2)
S:(1/2,1/2,0)|S₁(2)|S₁(2)|S₂ˢS₅ˢ(2)⊕S₃ˢS₄ˢ(2)
T:(0,1/2,1/2)|T₁T₃(2)|T₂T₄(2)|T₅ˢT₅ˢ(4)
U:(1/2,0,1/2)|U₁(2)|U₁(2)|U₂ˢU₄ˢ(2)⊕U₃ˢU₅ˢ(2)
X:(1/2,0,0)|X₁(2)|X₁(2)|X₂ˢX₅ˢ(2)⊕X₃ˢX₄ˢ(2)
Y:(0,1/2,0)|Y₁(1)⊕Y₃(1)|Y₂(1)⊕Y₄(1)|2Y₅ˢ(2)
Z:(0,0,1/2)|Z₁Z₃(2)|Z₂Z₄(2)|Z₅ˢZ₅ˢ(4)
G:(1/2,0,w)|G₁(2)|G₁(2)|G₂ˢ(1)⊕G₃ˢ(1)⊕G₄ˢ(1)⊕G₅ˢ(1)
H:(0,1/2,w)|H₁(1)⊕H₃(1)|H₂(1)⊕H₄(1)|2H₅ˢ(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₃(1)|Λ₂(1)⊕Λ₄(1)|2Λ₅ˢ(2)
Q:(1/2,1/2,w)|Q₁(2)|Q₁(2)|Q₂ˢ(1)⊕Q₃ˢ(1)⊕Q₄ˢ(1)⊕Q₅ˢ(1)
A:(u,0,1/2)|A₁A₂(2)|A₁A₂(2)|2A₃ˢA₄ˢ(2)
B:(0,v,1/2)|B₁B₁(2)|B₂B₂(2)|B₃ˢB₃ˢ(2)⊕B₄ˢB₄ˢ(2)
C:(u,1/2,0)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₃ˢ(1)⊕2C₄ˢ(1)
D:(1/2,v,0)|D₁D₂(2)|D₁D₂(2)|2D₃ˢD₄ˢ(2)
Δ:(0,v,0)|2Δ₁(1)|2Δ₂(1)|2Δ₃ˢ(1)⊕2Δ₄ˢ(1)
E:(u,1/2,1/2)|E₁E₂(2)|E₁E₂(2)|2E₃ˢE₄ˢ(2)
K:(0,v,w)|2K₁(1)|2K₂(1)|2K₃ˢ(1)⊕2K₄ˢ(1)
L:(1/2,v,w)|L₁(1)⊕L₂(1)|L₁(1)⊕L₂(1)|2L₃ˢ(1)⊕2L₄ˢ(1)
M:(u,0,w)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|2M₃ˢ(1)⊕2M₄ˢ(1)
N:(u,1/2,w)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|2N₃ˢ(1)⊕2N₄ˢ(1)
P:(1/2,v,1/2)|P₁P₂(2)|P₁P₂(2)|2P₃ˢP₄ˢ(2)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|4Ω₂ˢ(1)
V:(u,v,0)|2V₁(1)|2V₁(1)|4V₂ˢ(1)
W:(u,v,1/2)|W₁W₁(2)|W₁W₁(2)|2W₂ˢW₂ˢ(2)
