Wyckoff pos.|4a(mm2)|4a(mm2)|4a(mm2)|4a(mm2)|4a(mm2)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|Eˢ↑G(4)
Decomposable|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₅(2)|Γ₅(2)|Γ₆ˢ(2)⊕Γ₇ˢ(2)
M:(1,1,1)|M₁M₂(2)|M₃M₄(2)|M₅(2)|M₅(2)|M₆ˢM₇ˢ(4)
P:(1/2,1/2,1/2)|P₁(2)|P₁(2)|P₁(2)|P₁(2)|P₂ˢP₄ˢ(2)⊕P₃ˢ(1)⊕P₅ˢ(1)
X:(1/2,1/2,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₂ˢX₃ˢ(2)⊕X₄ˢX₅ˢ(2)
N:(1/2,0,1/2)|2N₁(1)|2N₂(1)|N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)|2N₃ˢN₄ˢ(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₅(2)|Λ₅(2)|Λ₆ˢ(2)⊕Λ₇ˢ(2)
W:(1/2,1/2,w)|W₁(2)|W₁(2)|W₁(2)|W₁(2)|W₂ˢ(1)⊕W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)
A:(u,u,w)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|2A₃ˢ(1)⊕2A₄ˢ(1)
B:(u,0,w)|2B₁(1)|2B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|2B₃ˢ(1)⊕2B₄ˢ(1)
Δ:(u,u,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₃ˢ(1)⊕2Δ₄ˢ(1)
Σ:(u,0,0)|2Σ₁(1)|2Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)
Y:(u,1-u,0)|Y₁Y₂(2)|Y₁Y₂(2)|Y₁Y₂(2)|Y₁Y₂(2)|2Y₃ˢY₄ˢ(2)
C:(u,v,0)|2C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|4C₂ˢ(1)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₂ˢ(1)
Q:(1/2,v,1/2)|2Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|4Q₂ˢ(1)
