Wyckoff pos.|3a(3)|3a(3)|3a(3)|3a(3)
Band-Rep.|A₁↑G(1)|¹E²E↑G(2)|¹Eˢ²Eˢ↑G(2)|EˢEˢ↑G(2)
Decomposable|false|false|false|false
Γ:(0,0,0)|Γ₁(1)|Γ₂Γ₃(2)|Γ₅ˢΓ₆ˢ(2)|Γ₄ˢΓ₄ˢ(2)
T:(0,0,3/2)|T₁(1)|T₂T₃(2)|T₅ˢT₆ˢ(2)|T₄ˢT₄ˢ(2)
F:(0,1/2,1)|F₁(1)|2F₁(1)|F₂ˢF₂ˢ(2)|F₂ˢF₂ˢ(2)
L:(-1/2,1/2,1/2)|L₁(1)|2L₁(1)|L₂ˢL₂ˢ(2)|L₂ˢL₂ˢ(2)
Λ:(0,0,w)|Λ₁(1)|Λ₂(1)⊕Λ₃(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)
C:(u,-u,w)|C₁(1)|2C₁(1)|2C₂ˢ(1)|2C₂ˢ(1)
Ω:(u,v,w)|Ω₁(1)|2Ω₁(1)|2Ω₂ˢ(1)|2Ω₂ˢ(1)
Σ:(u,-2u,0)|Σ₁(1)|2Σ₁(1)|2Σ₂ˢ(1)|2Σ₂ˢ(1)
Y:(u,u,3/2)|Y₁(1)|2Y₁(1)|2Y₂ˢ(1)|2Y₂ˢ(1)
