Z:(0,0,1/2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)|2Z₃ˢZ₄ˢ(4)
A:(u,0,1/2)|2A₁(2)|2A₁(2)|2A₁(2)|2A₁(2)|2A₁(2)|2A₁(2)|2A₁(2)|2A₁(2)|2A₂ˢA₅ˢ(2)⊕2A₃ˢA₄ˢ(2)|2A₂ˢA₅ˢ(2)⊕2A₃ˢA₄ˢ(2)|2A₂ˢA₅ˢ(2)⊕2A₃ˢA₄ˢ(2)|2A₂ˢA₅ˢ(2)⊕2A₃ˢA₄ˢ(2)|2A₂ˢA₅ˢ(2)⊕2A₃ˢA₄ˢ(2)|2A₂ˢA₅ˢ(2)⊕2A₃ˢA₄ˢ(2)
B:(0,v,1/2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|B₁B₃(2)⊕B₂B₄(2)|2B₅ˢB₅ˢ(4)|2B₅ˢB₅ˢ(4)|2B₅ˢB₅ˢ(4)|2B₅ˢB₅ˢ(4)|2B₅ˢB₅ˢ(4)|2B₅ˢB₅ˢ(4)
C:(u,1/2,0)|C₁C₄(2)⊕C₂C₃(2)|C₁C₄(2)⊕C₂C₃(2)|C₁C₄(2)⊕C₂C₃(2)|C₁C₄(2)⊕C₂C₃(2)|C₁C₄(2)⊕C₂C₃(2)|C₁C₄(2)⊕C₂C₃(2)|2C₁C₄(2)|2C₂C₃(2)|2C₅ˢC₅ˢ(4)|2C₅ˢC₅ˢ(4)|2C₅ˢC₅ˢ(4)|2C₅ˢC₅ˢ(4)|2C₅ˢC₅ˢ(4)|2C₅ˢC₅ˢ(4)
D:(1/2,v,0)|D₁(1)⊕D₂(1)⊕D₃(1)⊕D₄(1)|D₁(1)⊕D₂(1)⊕D₃(1)⊕D₄(1)|D₁(1)⊕D₂(1)⊕D₃(1)⊕D₄(1)|D₁(1)⊕D₂(1)⊕D₃(1)⊕D₄(1)|D₁(1)⊕D₂(1)⊕D₃(1)⊕D₄(1)|D₁(1)⊕D₂(1)⊕D₃(1)⊕D₄(1)|2D₁(1)⊕2D₄(1)|2D₂(1)⊕2D₃(1)|4D₅ˢ(2)|4D₅ˢ(2)|4D₅ˢ(2)|4D₅ˢ(2)|4D₅ˢ(2)|4D₅ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₄(1)|2Δ₂(1)⊕2Δ₃(1)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)
E:(u,1/2,1/2)|E₁E₁(4)|E₁E₁(4)|E₁E₁(4)|E₁E₁(4)|E₁E₁(4)|E₁E₁(4)|E₁E₁(4)|E₁E₁(4)|E₂ˢE₂ˢ(2)⊕E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)⊕E₅ˢE₅ˢ(2)|E₂ˢE₂ˢ(2)⊕E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)⊕E₅ˢE₅ˢ(2)|E₂ˢE₂ˢ(2)⊕E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)⊕E₅ˢE₅ˢ(2)|E₂ˢE₂ˢ(2)⊕E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)⊕E₅ˢE₅ˢ(2)|E₂ˢE₂ˢ(2)⊕E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)⊕E₅ˢE₅ˢ(2)|E₂ˢE₂ˢ(2)⊕E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)⊕E₅ˢE₅ˢ(2)
G:(1/2,0,w)|G₁(1)⊕G₂(1)⊕G₃(1)⊕G₄(1)|G₁(1)⊕G₂(1)⊕G₃(1)⊕G₄(1)|G₁(1)⊕G₂(1)⊕G₃(1)⊕G₄(1)|G₁(1)⊕G₂(1)⊕G₃(1)⊕G₄(1)|G₁(1)⊕G₂(1)⊕G₃(1)⊕G₄(1)|G₁(1)⊕G₂(1)⊕G₃(1)⊕G₄(1)|G₁(1)⊕G₂(1)⊕G₃(1)⊕G₄(1)|G₁(1)⊕G₂(1)⊕G₃(1)⊕G₄(1)|4G₅ˢ(2)|4G₅ˢ(2)|4G₅ˢ(2)|4G₅ˢ(2)|4G₅ˢ(2)|4G₅ˢ(2)
H:(0,1/2,w)|2H₁(2)|2H₁(2)|2H₁(2)|2H₁(2)|2H₁(2)|2H₁(2)|2H₁(2)|2H₁(2)|2H₂ˢH₅ˢ(2)⊕2H₃ˢH₄ˢ(2)|2H₂ˢH₅ˢ(2)⊕2H₃ˢH₄ˢ(2)|2H₂ˢH₅ˢ(2)⊕2H₃ˢH₄ˢ(2)|2H₂ˢH₅ˢ(2)⊕2H₃ˢH₄ˢ(2)|2H₂ˢH₅ˢ(2)⊕2H₃ˢH₄ˢ(2)|2H₂ˢH₅ˢ(2)⊕2H₃ˢH₄ˢ(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|4Λ₅ˢ(2)|4Λ₅ˢ(2)|4Λ₅ˢ(2)|4Λ₅ˢ(2)|4Λ₅ˢ(2)|4Λ₅ˢ(2)
