Wyckoff pos.|1c(3)|1c(3)|1c(3)|1b(3)|1b(3)|1b(3)|1a(3)|1a(3)|1a(3)
Band-Rep.|1c(2)|1c(2)|1c(2)|1b(2)|1b(2)|1b(2)|1a(2)|1a(2)|1a(2)
Decomposable|false|false|false|false|false|false|false|false|false
KA:(0.6666666666666666,-0.3333333333333333)|KA₂|KA₃|KA₁|KA₃|KA₁|KA₂|KA₁|KA₂|KA₃
Γ:(0.0,0.0)|Γ₁|Γ₂|Γ₃|Γ₁|Γ₂|Γ₃|Γ₁|Γ₂|Γ₃
K:(0.3333333333333333,0.3333333333333333)|KA₂⊕K₃|KA₃⊕K₁|KA₁⊕K₂|KA₃⊕K₂|KA₁⊕K₃|KA₂⊕K₁|KA₁⊕K₁|KA₂⊕K₂|KA₃⊕K₃
Ω:(α,β)|Ω₁|Ω₁|Ω₁|Ω₁|Ω₁|Ω₁|Ω₁|Ω₁|Ω₁
