V:(1/2,1/2,w)|V₁(1)⊕V₂(1)|V₁(1)⊕V₂(1)|V₃(1)⊕V₄(1)|V₃(1)⊕V₄(1)|V₁(1)⊕V₂(1)|V₁(1)⊕V₂(1)|V₃(1)⊕V₄(1)|V₃(1)⊕V₄(1)|2V₃(1)|2V₄(1)|V₁(1)⊕V₂(1)|V₁(1)⊕V₂(1)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|2Vˢ₅(2)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)|2C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|Δˢ₃(1)⊕Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
S:(u,u,1/2)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2S₁(1)|2S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₄(1)|2Sˢ₃(1)⊕2Sˢ₄(1)
Σ:(u,u,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₁(1)|2Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)
T:(u,1/2,1/2)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₃(1)⊕Tˢ₄(1)|2Tˢ₃(1)⊕2Tˢ₄(1)
U:(0,v,1/2)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|U₁(1)⊕U₂(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₄(1)|2Uˢ₃(1)⊕2Uˢ₄(1)
W:(0,1/2,w)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|2Wˢ₃(1)|2Wˢ₃(1)|2Wˢ₄(1)|2Wˢ₄(1)|2Wˢ₃(1)|2Wˢ₃(1)|2Wˢ₄(1)|2Wˢ₄(1)|2Wˢ₃(1)⊕2Wˢ₄(1)
Y:(u,1/2,0)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₂(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|2Yˢ₃(1)⊕2Yˢ₄(1)
B:(0,v,w)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|2Bˢ₂(1)|4Bˢ₂(1)
D:(u,v,0)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|2Dˢ₂(1)|4Dˢ₂(1)
E:(u,v,1/2)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2E₁(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|2Eˢ₂(1)|4Eˢ₂(1)
F:(u,1/2,w)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2F₁(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|2Fˢ₂(1)|4Fˢ₂(1)
GP:(u,v,w)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GP₁(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|2GPˢ₂(1)|4GPˢ₂(1)
